Method,Path,Visibility,Public Facing,Ambiguous,Categories,Security Warnings,folder,File Path,Line Number,Occurrences,Notes
GET,/,external,yes,no,product,none,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes all GET / to the Next.js frontend; serves the main storefront page
GET|POST|DELETE,/api/*,external,yes,no,product|cart|checkout,none,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes all /api/* to frontend BFF; covers all REST API calls from the browser
POST,/otlp-http/v1/traces,external,no,no,telemetry,Publicly reachable OTLP endpoint — any client can inject arbitrary spans; no authentication,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy reverse-proxies browser OTLP HTTP traces to otel-collector:4318/v1/traces
POST,/otlp-http/v1/metrics,external,no,no,telemetry,Publicly reachable OTLP endpoint — any client can inject arbitrary metrics; no authentication,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy reverse-proxies browser OTLP HTTP metrics to otel-collector:4318/v1/metrics
POST,/otlp-http/v1/logs,external,no,no,telemetry,Publicly reachable OTLP endpoint — any client can inject arbitrary logs; no authentication,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy reverse-proxies browser OTLP HTTP logs to otel-collector:4318/v1/logs
GET,/jaeger/ui/*,external,no,yes,telemetry,Jaeger trace UI publicly exposed without authentication — reveals internal service topology and request details,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes /jaeger/ui/* to Jaeger :16686; exposes full distributed trace data
GET,/grafana/*,external,no,yes,telemetry,Grafana dashboards publicly reachable (default admin:admin); exposes operational metrics,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes /grafana/* to Grafana :3000; dashboards show system performance and errors
GET,/prometheus/*,external,no,yes,telemetry,Prometheus metrics endpoint publicly reachable — exposes internal service metrics and labels,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes /prometheus/* to Prometheus :9090
GET|POST,/flagd-ui/*,external,no,yes,admin|flags,FlagD UI publicly reachable — allows modification of feature flags and fault injection scenarios without authentication,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes /flagd-ui/* to FlagD UI (Elixir/Phoenix :4000)
GET|POST,/loadgen/*,external,no,yes,admin|load-test,Locust load generator UI publicly reachable — allows arbitrary load test initiation and termination,frontend-proxy,src/frontend-proxy/envoy.tmpl.yaml,N/A,1,Envoy routes /loadgen/* to load-generator Locust web UI :8089
